transect_id,x1,y1,x2,y2,mid_x,mid_y,mid_lon,mid_lat,lon1,lat1,lon2,lat2
32,16156692.882882884,-4595009.9999997,16156692.882882884,-4593810.0000003,16156692.882882884,-4594410.0,145.13804157518786,-38.10599364677036,145.13804157518786,-38.110234670280974,145.13804157518786,-38.10175237704784
33,16156742.972972972,-4595009.9999997,16156742.972972972,-4593810.0000003,16156742.972972972,-4594410.0,145.13849154212298,-38.10599364677036,145.13849154212298,-38.110234670280974,145.13849154212298,-38.10175237704784
34,16157369.9999997,-4594386.936936937,16156170.0000003,-4594386.936936937,16156770.0,-4594386.936936937,145.1387343300376,-38.105830623535205,145.14412422173962,-38.105830623535205,145.13334443833557,-38.105830623535205
35,16156813.153153151,-4594979.9999997,16156813.153153151,-4593780.0000003,16156813.153153151,-4594380.0,145.13912198140795,-38.105781589131595,145.13912198140795,-38.11002262495301,145.13912198140795,-38.10154030709871
36,16157459.9999997,-4594376.756756756,16156260.0000003,-4594376.756756756,16156860.0,-4594376.756756756,145.1395428137933,-38.105758663944584,145.14493270549534,-38.105758663944584,145.1341529220913,-38.105758663944584
37,16157459.9999997,-4594326.666666667,16156260.0000003,-4594326.666666667,16156860.0,-4594326.666666667,145.1395428137933,-38.10540459625395,145.14493270549534,-38.10540459625395,145.1341529220913,-38.10540459625395
38,16157459.9999997,-4594276.576576577,16156260.0000003,-4594276.576576577,16156860.0,-4594276.576576577,145.1395428137933,-38.10505052684735,145.14493270549534,-38.10505052684735,145.1341529220913,-38.10505052684735
39,16157429.9999997,-4594256.486486486,16156230.0000003,-4594256.486486486,16156830.0,-4594256.486486486,145.1392733192081,-38.10490851651328,145.1446632109101,-38.10490851651328,145.13388342750605,-38.10490851651328
40,16157429.9999997,-4594206.396396397,16156230.0000003,-4594206.396396397,16156830.0,-4594206.396396397,145.1392733192081,-38.104554444702494,145.1446632109101,-38.104554444702494,145.13388342750605,-38.104554444702494
41,16157429.9999997,-4594156.306306306,16156230.0000003,-4594156.306306306,16156830.0,-4594156.306306306,145.1392733192081,-38.10420037117574,145.1446632109101,-38.10420037117574,145.13388342750605,-38.10420037117574
42,16157429.9999997,-4594106.216216216,16156230.0000003,-4594106.216216216,16156830.0,-4594106.216216216,145.1392733192081,-38.10384629593306,145.1446632109101,-38.10384629593306,145.13388342750605,-38.10384629593306
43,16157429.9999997,-4594056.126126126,16156230.0000003,-4594056.126126126,16156830.0,-4594056.126126126,145.1392733192081,-38.10349221897444,145.1446632109101,-38.10349221897444,145.13388342750605,-38.10349221897444
44,16157429.9999997,-4594006.036036036,16156230.0000003,-4594006.036036036,16156830.0,-4594006.036036036,145.1392733192081,-38.10313814029987,145.1446632109101,-38.10313814029987,145.13388342750605,-38.10313814029987
45,16156834.054054054,-4594559.9999997,16156834.054054054,-4593360.0000003,16156834.054054054,-4593960.0,145.13930973739525,-38.102812717558756,145.13930973739525,-38.10705392572915,145.13930973739525,-38.09857126318318
46,16157459.9999997,-4593935.855855856,16156260.0000003,-4593935.855855856,16156860.0,-4593935.855855856,145.1395428137933,-38.102642045169915,145.14493270549534,-38.102642045169915,145.1341529220913,-38.102642045169915
47,16156904.234234234,-4594529.9999997,16156904.234234234,-4593330.0000003,16156904.234234234,-4593930.0,145.13994017668026,-38.102600650687165,145.13994017668026,-38.10684187116803,145.13994017668026,-38.09835918400157
