transect_id,x1,y1,x2,y2
134,16159109.9999997,-4592317.927927928,16157910.0000003,-4592317.927927928
135,16158552.162162162,-4592909.9999997,16158552.162162162,-4591710.0000003
136,16158572.252252253,-4592879.9999997,16158572.252252253,-4591680.0000003
137,16158622.342342343,-4592879.9999997,16158622.342342343,-4591680.0000003
138,16159259.9999997,-4592267.567567567,16158060.0000003,-4592267.567567567
139,16158662.522522522,-4592819.9999997,16158662.522522522,-4591620.0000003
140,16158090.0000003,-4592242.612612613,16159289.9999997,-4592242.612612613
141,16159319.9999997,-4592237.297297297,16158120.0000003,-4592237.297297297
142,16158722.792792793,-4592789.9999997,16158722.792792793,-4591590.0000003
143,16158772.882882884,-4592789.9999997,16158772.882882884,-4591590.0000003
144,16159409.9999997,-4592177.027027027,16158210.0000003,-4592177.027027027
145,16158843.063063063,-4592759.9999997,16158843.063063063,-4591560.0000003
146,16159469.9999997,-4592136.846846847,16158270.0000003,-4592136.846846847
147,16158913.243243244,-4592729.9999997,16158913.243243244,-4591530.0000003
148,16159559.9999997,-4592126.666666667,16158360.0000003,-4592126.666666667
149,16158983.423423423,-4592699.9999997,16158983.423423423,-4591500.0000003
150,16159033.513513513,-4592699.9999997,16159033.513513513,-4591500.0000003
151,16159649.9999997,-4592066.396396397,16158450.0000003,-4592066.396396397
152,16159073.693693694,-4592639.9999997,16159073.693693694,-4591440.0000003
153,16159709.9999997,-4592026.216216216,16158510.0000003,-4592026.216216216
154,16159143.873873875,-4592609.9999997,16159143.873873875,-4591410.0000003
155,16159193.963963963,-4592609.9999997,16159193.963963963,-4591410.0000003
156,16159829.9999997,-4591995.945945946,16158630.0000003,-4591995.945945946
157,16159264.144144144,-4592579.9999997,16159264.144144144,-4591380.0000003
158,16159314.234234234,-4592579.9999997,16159314.234234234,-4591380.0000003
159,16159334.324324325,-4592549.9999997,16159334.324324325,-4591350.0000003
160,16159384.414414415,-4592549.9999997,16159384.414414415,-4591350.0000003
161,16160009.9999997,-4591925.495495495,16158810.0000003,-4591925.495495495
162,16159454.594594594,-4592519.9999997,16159454.594594594,-4591320.0000003
163,16160099.9999997,-4591915.3153153155,16158900.0000003,-4591915.3153153155
164,16160099.9999997,-4591865.225225225,16158900.0000003,-4591865.225225225
165,16159544.864864865,-4592459.9999997,16159544.864864865,-4591260.0000003
166,16160189.9999997,-4591855.045045045,16158990.0000003,-4591855.045045045
167,16159615.045045044,-4592429.9999997,16159615.045045044,-4591230.0000003
168,16159665.135135135,-4592429.9999997,16159665.135135135,-4591230.0000003
169,16159685.225225225,-4592399.9999997,16159685.225225225,-4591200.0000003
170,16159735.315315315,-4592399.9999997,16159735.315315315,-4591200.0000003
171,16160369.9999997,-4591784.594594595,16159170.0000003,-4591784.594594595
